id,studio_id,instructor_id,source,source_id,title,style,difficulty,pacing,duration_min,price,description,target_outcomes,contraindications,schedule,crawled_at,search_vec
19,,,taling,ce162af25947d090,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:49:12.861188+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
20,,,taling,f604c37e0b96cea9,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.346733+00:00,'yoga':3 '발산점':2 '아메리카요가':1
21,,,taling,cffedd43efd76aea,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.346750+00:00,'yoga':3 '건대점':2 '아메리카요가':1
22,,,taling,96b6fa409748b644,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.346763+00:00,'yoga':3 '목동점':2 '아메리카요가':1
23,,,taling,7e4727f0c231e5e7,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.346776+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
24,,,taling,221123ec7d317cdf,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.346788+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
25,,,taling,35dc8876af4ccc7c,하트풀니스 요가와 자애 명상,meditation,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.346889+00:00,'meditation':5 '명상':4 '요가와':2 '자애':3 '하트풀니스':1
26,,,taling,09e525c2ac7a2967,올바른 휴식을 도와주는  회복 요가,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.346986+00:00,'yoga':6 '도와주는':3 '올바른':1 '요가':5 '회복':4 '휴식을':2
27,,,taling,097edbab355e66d1,요가강사로서의 성공전략,yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.347092+00:00,'yoga':3 '성공전략':2 '요가강사로서의':1
28,,,taling,7d627c64cd0f0cef,봄의 생기를 불어넣는 <br>전신 요가 (아쉬탕가) ,ashtanga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.347231+00:00,'ashtanga':7 '봄의':1 '불어넣는':3 '생기를':2 '아쉬탕가':6 '요가':5 '전신':4
29,,,taling,6f53def2fe24919d,"아쉬탕가, 싱잉볼 명상, 요가<br>내 삶을 채우는 웰니스 패키지",ashtanga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.347334+00:00,'ashtanga':10 '내':5 '명상':3 '삶을':6 '싱잉볼':2 '아쉬탕가':1 '요가':4 '웰니스':8 '채우는':7 '패키지':9
30,,,taling,20c1425d1741f8bc,"주말 요가, 디퓨져 원데이 클래스",yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.347437+00:00,'yoga':6 '디퓨져':3 '요가':2 '원데이':4 '주말':1 '클래스':5
31,,,taling,ea8c679965d73da1,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.864975+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
32,,,taling,1b7f2c706440aef4,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.871606+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
33,,,taling,2a0fcfb7eda574c1,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:49:43.058449+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
34,,,taling,dedd8db06cbb396e,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.871633+00:00,'yoga':3 '발산점':2 '아메리카요가':1
35,,,taling,6ea5e3e3e4caf350,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.871648+00:00,'yoga':3 '건대점':2 '아메리카요가':1
36,,,taling,008b5bb19f85bc0e,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.871660+00:00,'yoga':3 '목동점':2 '아메리카요가':1
37,,,taling,f9444be687e3646a,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.871673+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
38,,,taling,813e76d8561f8087,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.871690+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
39,,,taling,4cd5a333f189aa9b,하트풀니스 요가와 자애 명상,meditation,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.871780+00:00,'meditation':5 '명상':4 '요가와':2 '자애':3 '하트풀니스':1
40,,,taling,0f86ba6dc97411f6,올바른 휴식을 도와주는  회복 요가,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.871872+00:00,'yoga':6 '도와주는':3 '올바른':1 '요가':5 '회복':4 '휴식을':2
41,,,taling,12b810f1b1219082,요가강사로서의 성공전략,yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.871984+00:00,'yoga':3 '성공전략':2 '요가강사로서의':1
42,,,taling,e213a821207f50a8,봄의 생기를 불어넣는 <br>전신 요가 (아쉬탕가) ,ashtanga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.872073+00:00,'ashtanga':7 '봄의':1 '불어넣는':3 '생기를':2 '아쉬탕가':6 '요가':5 '전신':4
43,,,taling,5808a84335115781,"아쉬탕가, 싱잉볼 명상, 요가<br>내 삶을 채우는 웰니스 패키지",ashtanga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.872163+00:00,'ashtanga':10 '내':5 '명상':3 '삶을':6 '싱잉볼':2 '아쉬탕가':1 '요가':4 '웰니스':8 '채우는':7 '패키지':9
44,,,taling,e07da50faa03cda6,"주말 요가, 디퓨져 원데이 클래스",yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.872281+00:00,'yoga':6 '디퓨져':3 '요가':2 '원데이':4 '주말':1 '클래스':5
45,,,taling,06ee6aee98935e2c,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.675864+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
46,,,taling,1d1a3a1d6555a3e9,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.681868+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
47,,,taling,522c41d7ea65159a,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:50:10.403133+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
48,,,taling,1923d067dfbabe3f,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.681888+00:00,'yoga':3 '발산점':2 '아메리카요가':1
49,,,taling,5480d48ccf41e74e,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.681896+00:00,'yoga':3 '건대점':2 '아메리카요가':1
50,,,taling,bb8ec0e17bcee626,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.681904+00:00,'yoga':3 '목동점':2 '아메리카요가':1
51,,,taling,abd506224fd73614,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.681913+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
52,,,taling,1ab0d51261f970ee,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.681920+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
53,,,taling,f0962676737f9f41,하트풀니스 요가와 자애 명상,meditation,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.681975+00:00,'meditation':5 '명상':4 '요가와':2 '자애':3 '하트풀니스':1
54,,,taling,3bde15f42daf553b,올바른 휴식을 도와주는  회복 요가,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.682024+00:00,'yoga':6 '도와주는':3 '올바른':1 '요가':5 '회복':4 '휴식을':2
55,,,taling,e88cff7cb5718e5d,요가강사로서의 성공전략,yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.682073+00:00,'yoga':3 '성공전략':2 '요가강사로서의':1
56,,,taling,ee0400d14f74eb87,봄의 생기를 불어넣는 <br>전신 요가 (아쉬탕가) ,ashtanga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.682128+00:00,'ashtanga':7 '봄의':1 '불어넣는':3 '생기를':2 '아쉬탕가':6 '요가':5 '전신':4
57,,,taling,e33b2ce6b0c0557a,"아쉬탕가, 싱잉볼 명상, 요가<br>내 삶을 채우는 웰니스 패키지",ashtanga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.682217+00:00,'ashtanga':10 '내':5 '명상':3 '삶을':6 '싱잉볼':2 '아쉬탕가':1 '요가':4 '웰니스':8 '채우는':7 '패키지':9
58,,,taling,c4eddd970c83fa60,"주말 요가, 디퓨져 원데이 클래스",yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.682284+00:00,'yoga':6 '디퓨져':3 '요가':2 '원데이':4 '주말':1 '클래스':5
59,,,taling,3b915b0e9709cb3e,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.342837+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
60,,,taling,bb0215387db4a1cd,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351374+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
61,,,taling,8f53ffc8867a406b,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:50:39.835942+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
62,,,taling,570b6fc028d42064,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351391+00:00,'yoga':3 '발산점':2 '아메리카요가':1
63,,,taling,fe1c3668c2fe6715,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351404+00:00,'yoga':3 '건대점':2 '아메리카요가':1
64,,,taling,31ebbd161eaa1242,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351416+00:00,'yoga':3 '목동점':2 '아메리카요가':1
65,,,taling,0ec661002eea419a,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351428+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
66,,,taling,6ddff3aef846b002,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351439+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
67,,,taling,a456fb7cdfd8a201,하트풀니스 요가와 자애 명상,meditation,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351537+00:00,'meditation':5 '명상':4 '요가와':2 '자애':3 '하트풀니스':1
68,,,taling,5d3e09641ea59b8a,올바른 휴식을 도와주는  회복 요가,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351631+00:00,'yoga':6 '도와주는':3 '올바른':1 '요가':5 '회복':4 '휴식을':2
69,,,taling,e93213b37aa35947,요가강사로서의 성공전략,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351719+00:00,'yoga':3 '성공전략':2 '요가강사로서의':1
70,,,taling,8b172a866f7b7e30,봄의 생기를 불어넣는 <br>전신 요가 (아쉬탕가) ,ashtanga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351814+00:00,'ashtanga':7 '봄의':1 '불어넣는':3 '생기를':2 '아쉬탕가':6 '요가':5 '전신':4
71,,,taling,2d6641b19db86500,"아쉬탕가, 싱잉볼 명상, 요가<br>내 삶을 채우는 웰니스 패키지",ashtanga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351905+00:00,'ashtanga':10 '내':5 '명상':3 '삶을':6 '싱잉볼':2 '아쉬탕가':1 '요가':4 '웰니스':8 '채우는':7 '패키지':9
72,,,taling,1b71b2c34936600f,"주말 요가, 디퓨져 원데이 클래스",yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351995+00:00,'yoga':6 '디퓨져':3 '요가':2 '원데이':4 '주말':1 '클래스':5
73,,,taling,acaefe4d1651b6ec,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.889560+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
74,,,taling,3353101f7c3429cb,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896504+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
75,,,taling,4099a389026fba80,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:51:07.666214+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
76,,,taling,8caf0cb9ad66ac0e,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896515+00:00,'yoga':3 '발산점':2 '아메리카요가':1
77,,,taling,7b4e5e0a98b5bf8e,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896524+00:00,'yoga':3 '건대점':2 '아메리카요가':1
78,,,taling,fcb950ecc093f948,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896532+00:00,'yoga':3 '목동점':2 '아메리카요가':1
79,,,taling,a21c357b4b565ada,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896540+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
80,,,taling,ddaf674972afee1b,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896547+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
81,,,taling,7756c2131d44f579,하트풀니스 요가와 자애 명상,meditation,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896601+00:00,'meditation':5 '명상':4 '요가와':2 '자애':3 '하트풀니스':1
82,,,taling,14f87cdee251143f,올바른 휴식을 도와주는  회복 요가,yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896649+00:00,'yoga':6 '도와주는':3 '올바른':1 '요가':5 '회복':4 '휴식을':2
83,,,taling,bb23fbee24a48873,요가강사로서의 성공전략,yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896698+00:00,'yoga':3 '성공전략':2 '요가강사로서의':1
84,,,taling,0cabcfce2860e502,봄의 생기를 불어넣는 <br>전신 요가 (아쉬탕가) ,ashtanga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896743+00:00,'ashtanga':7 '봄의':1 '불어넣는':3 '생기를':2 '아쉬탕가':6 '요가':5 '전신':4
85,,,taling,c1c6ce46354a1702,"아쉬탕가, 싱잉볼 명상, 요가<br>내 삶을 채우는 웰니스 패키지",ashtanga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896789+00:00,'ashtanga':10 '내':5 '명상':3 '삶을':6 '싱잉볼':2 '아쉬탕가':1 '요가':4 '웰니스':8 '채우는':7 '패키지':9
86,,,taling,2003930332607955,"주말 요가, 디퓨져 원데이 클래스",yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896834+00:00,'yoga':6 '디퓨져':3 '요가':2 '원데이':4 '주말':1 '클래스':5
89,,,taling,c77b5408cbc43957,"성형 없이 얼굴 골격 재창조!
<셀프 경락 + 페이스 요가>",yoga,,,,,,,,"{""city"": ""부산"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:39:52.346686+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
102,,,taling,9034a8ee82138e15,"성형 없이 얼굴 골격 재창조!
<셀프 경락 + 페이스 요가>",yoga,,,,,,,,"{""city"": ""대구"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:40:40.871522+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
116,,,taling,d1dad72ded7e6fee,"성형 없이 얼굴 골격 재창조!
<셀프 경락 + 페이스 요가>",yoga,,,,,,,,"{""city"": ""인천"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:41:25.681809+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
130,,,taling,2e551456ac5ec08e,"성형 없이 얼굴 골격 재창조!
<셀프 경락 + 페이스 요가>",yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:42:12.351301+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
144,,,taling,16eea5fe7eab532b,"성형 없이 얼굴 골격 재창조!
<셀프 경락 + 페이스 요가>",yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-26T13:43:26.896459+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
